"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"4.7u","desc","C1,","C_0201_Metric","libref","4","1","","",
"2.2u","desc","C2,","C_0201_Metric","libref","4","1","","",
"4.7k","desc","R1,R2,","R_0201_Metric","libref","4","2","","",
"QMC6310","desc","U1,","QMC6310","libref","8","1","","",
"CSNP32GCR01-AOW","desc","U3,","SD_NAND_32","libref","8","1","","",
"1u","desc","C3,","C_0402_Metric","libref","2","1","","",
"100n","desc","C4,C5,","C_0201_Metric","libref","4","2","","",
"2.2u","desc","C6,","C_0201_Metric","libref","4","1","","",
"DF40HC3.5-20DS-0.4V51","desc","J1,","CONN20_DF40HC_HIR","libref","20","1","","",
"4.7k","desc","R3,R5,R6,","R_0201_Metric","libref","4","3","","",
"LSM6DSLTR","desc","U2,","LSM6DSLTR_PQFN50P300X250X86-14N","libref","14","1","","",
