"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"0.1u","desc","C1,C7,","C_0201_Metric","libref","4","2","","",
"10u","desc","C3,","C_0603_Metric","libref","2","1","","",
"DF40C-20DP-0.4V_51_","desc","J1,","HRS_DF40C-20DP-0.4V_51_","libref","24","1","","",
"BM29B0.6-2DS_2-0.35V_51_","desc","J2,","BM29B0.6-2DS_2-0.35V_51__HRS_BM29B0.6-2DS_2-0.35V_51_","libref","10","1","","",
"4.7k","desc","R1,R2,R3,R4,","R_0201_Metric","libref","4","4","","",
"AN2051-245","desc","U1,","AN2051","libref","2","1","","",
"ESP32-PICO-V3-02","desc","U2,","Pico-QFN-48","libref","65","1","","",
"0.1u","desc","C2,C6,C8,","C_0201_Metric","libref","4","3","","",
"15p","desc","C9,","C_0201_Metric","libref","4","1","","",
"1u","desc","C10,C11,C12,C13,C14,","C_0201_Metric","libref","4","5","","",
"BM29B0.6-2DS_2-0.35V_51_","desc","J3,","BM29B0.6-2DS_2-0.35V_51__HRS_BM29B0.6-2DS_2-0.35V_51_","libref","10","1","","",
"4.7k","desc","R5,R6,R7,R8,R9,","R_0201_Metric","libref","4","5","","",
"OV2640","desc","U3,","OV2640_BGA38","libref","38","1","","",
"MAX31875","desc","U4,","BGA4N40P2X2_83X83X37N","libref","4","1","","",
"PTPS7A2028PDQNR","desc","U5,","PTPS7A20185PDQNR","libref","5","1","","",
"PTPS7A2015PDQNR","desc","U6,","PTPS7A20185PDQNR","libref","5","1","","",
"LM36011","desc","U7,","LM36011_BGA24","libref","8","1","","",
