"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0201_Metric","7.65mm","2.19mm","7.65mm","2.19mm","7.65mm","1.87mm","T","90","0.1u",
"C3","C_0603_Metric","9.3mm","1.805mm","9.3mm","1.805mm","9.3mm","2.58mm","T","-90","10u",
"C7","C_0201_Metric","8.26mm","0.94mm","8.26mm","0.94mm","8.26mm","1.26mm","T","-90","0.1u",
"J1","HRS_DF40C-20DP-0.4V_51_","10.56mm","8.02mm","10.56mm","8.02mm","9.205mm","6.22mm","T","90","DF40C-20DP-0.4V_51_",
"J2","BM29B0.6-2DS_2-0.35V_51__HRS_BM29B0.6-2DS_2-0.35V_51_","11.19mm","1.81mm","11.19mm","1.81mm","10.44mm","1.81mm","T","-90","BM29B0.6-2DS_2-0.35V_51_",
"R1","R_0201_Metric","7.65mm","0.95mm","7.65mm","0.95mm","7.65mm","0.63mm","T","90","4.7k",
"R2","R_0201_Metric","11.75mm","3.58mm","11.75mm","3.58mm","11.43mm","3.58mm","T","0","4.7k",
"R3","R_0201_Metric","10.51mm","3.58mm","10.51mm","3.58mm","10.19mm","3.58mm","T","0","4.7k",
"R4","R_0201_Metric","8.26mm","2.19mm","8.26mm","2.19mm","8.26mm","2.51mm","T","-90","4.7k",
"U1","AN2051","3.46mm","1.21mm","3.46mm","1.21mm","0.91mm","1.21mm","T","0","AN2051-245",
"U2","Pico-QFN-48","4.42mm","6.93mm","4.42mm","6.93mm","1.67mm","3.48mm","T","90","ESP32-PICO-V3-02",
"C2","C_0201_Metric","0.79mm","4.04mm","0.79mm","4.04mm","0.79mm","3.72mm","B","90","0.1u",
"C6","C_0201_Metric","2.24mm","4.39mm","2.24mm","4.39mm","2.56mm","4.39mm","B","180","0.1u",
"C8","C_0201_Metric","2.25mm","3.77mm","2.25mm","3.77mm","2.57mm","3.77mm","B","180","0.1u",
"C9","C_0201_Metric","9.5mm","10.49mm","9.5mm","10.49mm","9.5mm","10.17mm","B","90","15p",
"C10","C_0201_Metric","7.98mm","10.45mm","7.98mm","10.45mm","7.98mm","10.13mm","B","90","1u",
"C11","C_0201_Metric","12.14mm","10.49mm","12.14mm","10.49mm","12.14mm","10.17mm","B","90","1u",
"C12","C_0201_Metric","2.17mm","8.98mm","2.17mm","8.98mm","1.85mm","8.98mm","B","0","1u",
"C13","C_0201_Metric","5.85mm","10.47mm","5.85mm","10.47mm","5.85mm","10.15mm","B","90","1u",
"C14","C_0201_Metric","10.09mm","10.49mm","10.09mm","10.49mm","10.09mm","10.17mm","B","90","1u",
"J3","BM29B0.6-2DS_2-0.35V_51__HRS_BM29B0.6-2DS_2-0.35V_51_","1.6975mm","6.2mm","1.6975mm","6.2mm","2.4475mm","6.2mm","B","-90","BM29B0.6-2DS_2-0.35V_51_",
"R5","R_0201_Metric","4.75mm","10.59mm","4.75mm","10.59mm","5.07mm","10.59mm","B","180","4.7k",
"R6","R_0201_Metric","4.74mm","10.06mm","4.74mm","10.06mm","5.06mm","10.06mm","B","180","4.7k",
"R7","R_0201_Metric","2.24mm","3.14mm","2.24mm","3.14mm","2.56mm","3.14mm","B","180","4.7k",
"R8","R_0201_Metric","2.17mm","9.54mm","2.17mm","9.54mm","1.85mm","9.54mm","B","0","4.7k",
"R9","R_0201_Metric","0.92mm","9.61mm","0.92mm","9.61mm","0.92mm","9.29mm","B","90","4.7k",
"U3","OV2640_BGA38","7.81mm","5.56mm","7.81mm","5.56mm","5.41mm","7.56mm","B","-90","OV2640",
"U4","BGA4N40P2X2_83X83X37N","2.15mm","10.45mm","2.15mm","10.45mm","2.35mm","10.25mm","B","90","MAX31875",
"U5","PTPS7A20185PDQNR","6.91mm","10.47mm","6.91mm","10.47mm","6.405mm","10.140001mm","B","0","PTPS7A2028PDQNR",
"U6","PTPS7A20185PDQNR","11.11mm","10.48mm","11.11mm","10.48mm","10.605mm","10.150001mm","B","0","PTPS7A2015PDQNR",
"U7","LM36011_BGA24","1.856972mm","8.253028mm","1.856972mm","8.253028mm","2.381972mm","8.078028mm","B","90","LM36011",
