"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0603_Metric","17.741444mm","10.80036mm","17.741444mm","10.80036mm","18.516444mm","10.80036mm","T","180","10u",
"C2","C_0402_Metric","16.291444mm","8.76036mm","16.291444mm","8.76036mm","16.291444mm","9.24036mm","T","-90","0.1u",
"C3","C_0603_Metric","17.716444mm","6.71036mm","17.716444mm","6.71036mm","16.941444mm","6.71036mm","T","0","10u",
"L1","ASIC-0805F","21.281444mm","8.74036mm","21.281444mm","8.74036mm","21.281444mm","9.63036mm","T","-90","1.5u",
"U1","TPS63031-10SON","18.481444mm","8.74036mm","18.481444mm","8.74036mm","19.731444mm","7.74036mm","T","90","TPS63031",
"U2","Rec_Pad_1","22.811444mm","8.82036mm","22.811444mm","8.82036mm","22.791444mm","8.77036mm","T","0","Pad1",
"U3","Rec_Pad_1","22.741444mm","7.06036mm","22.741444mm","7.06036mm","22.721444mm","7.01036mm","T","0","Pad1",
"U4","pogo_1","20.111444mm","5.73036mm","20.111444mm","5.73036mm","20.281444mm","5.50036mm","T","0","pogo_1",
"U5","pogo_1","20.091444mm","11.34036mm","20.091444mm","11.34036mm","20.281444mm","11.50036mm","T","0","pogo_1",
"U6","Rec_Pad_1","22.831444mm","10.24036mm","22.831444mm","10.24036mm","22.811444mm","10.19036mm","T","0","Pad1",
"J1","BM29B-2DP_2-0.35V_51__HRS_BM29B-2DP_2-0.35V_51_","1.248944mm","5.30036mm","1.248944mm","5.30036mm","1.788944mm","5.30036mm","B","-90","BM29B-2DP_2-0.35V_51_",
